CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 115.789062 1616134568.4774
MEM 115.789062 1616134568.5823
MEM 115.789062 1616134568.6826
MEM 115.789062 1616134568.7835
MEM 115.789062 1616134568.8886
MEM 115.792969 1616134568.9912
MEM 115.832031 1616134569.0958
MEM 115.832031 1616134569.1971
MEM 115.832031 1616134569.3006
MEM 115.832031 1616134569.4055
MEM 115.832031 1616134569.5068
MEM 115.832031 1616134569.6076
MEM 115.832031 1616134569.7078
MEM 115.832031 1616134569.8088
MEM 115.832031 1616134569.9105
MEM 115.832031 1616134570.0122
MEM 115.832031 1616134570.1132
MEM 115.832031 1616134570.2151
MEM 115.832031 1616134570.3197
MEM 115.832031 1616134570.4240
MEM 115.832031 1616134570.5247
MEM 115.832031 1616134570.6298
MEM 115.832031 1616134570.7324
MEM 115.832031 1616134570.8373
MEM 115.832031 1616134570.9393
MEM 115.832031 1616134571.0423
MEM 115.832031 1616134571.1426
MEM 115.832031 1616134571.2455
MEM 115.832031 1616134571.3476
MEM 115.832031 1616134571.4526
MEM 115.832031 1616134571.5560
MEM 115.832031 1616134571.6563
MEM 115.832031 1616134571.7593
MEM 115.832031 1616134571.8623
MEM 115.906250 1616134571.9647
MEM 115.906250 1616134572.0690
MEM 115.906250 1616134572.1708
MEM 115.906250 1616134572.2726
MEM 115.906250 1616134572.3752
MEM 115.910156 1616134572.4790
MEM 115.910156 1616134572.5809
MEM 115.910156 1616134572.6861
MEM 115.910156 1616134572.7899
MEM 115.910156 1616134572.8930
MEM 115.910156 1616134572.9971
MEM 115.910156 1616134573.0995
MEM 115.910156 1616134573.2026
MEM 115.910156 1616134573.3060
MEM 115.910156 1616134573.4098
MEM 115.910156 1616134573.5111
MEM 115.910156 1616134573.6113
MEM 115.910156 1616134573.7124
MEM 115.910156 1616134573.8162
MEM 115.910156 1616134573.9202
MEM 115.910156 1616134574.0232
MEM 115.910156 1616134574.1253
MEM 115.910156 1616134574.2259
MEM 114.871094 1616134574.3279
MEM 114.871094 1616134574.4320
MEM 114.871094 1616134574.5323
MEM 114.871094 1616134574.6360
MEM 114.871094 1616134574.7392
MEM 114.871094 1616134574.8433
MEM 114.882812 1616134574.9472
MEM 114.882812 1616134575.0520
MEM 114.882812 1616134575.1564
MEM 114.882812 1616134575.2570
MEM 114.882812 1616134575.3592
